悪事 (akuji)	 evil deed, crime
圧倒 (attou)	 overwhelm, overpower
扱い (atsukai)	 treatment, service​
圧力 (atsuryoku)	 pressure, stress​
過ち (ayamachi)	 fault, error, indiscretion
買収 (baishuu)	 acquisition, buy-out, takeover
爆弾 (bakudan)	 bomb
弁護 (bengo)	 defence, pleading, advocacy​
弁解 (benkai)	 justification, explanation
弁明 (benmei)	 explanation, excuse
貧乏 (binbou)	 poverty, destitute, poor​
敏感 (binkan)	 sensibility, susceptibility
微笑 (bishou)	 smile
膨張 (bouchou)	 expansion, swelling, increase
防衛 (bouei)	 defense, protection
暴力 (bouryoku)	 violence, mayhem
侮辱 (bujoku)	 insult, affront, slight
部下 (buka)	 subordinate person
分配 (bunpai)	 division, splitting, sharing
分散 (bunsan)	 dispersion, breakup
文書 (bunsho)	 document, writing, paperwork
無礼 (burei)	 impolite, rude​
武装 (busou)	 arms, armament​
着手 (chakushu)	 to start work (on), to undertake​
近づく (chikazuku)	 to approach, to draw near
蓄積 (chikuseki)	 accumulation, accumulate
賃金 (chingin)	 wages
沈黙 (chinmoku)	 silence, being silent
知性 (chisei)	 intelligence
秩序 (chitsujo)	 order, regularity
直感 (chokkan)	 intuition, instinct, hunch
直面 (chokumen)	 confrontation, to face
挑戦 (chousen)	 challenge, defiance, dare
調達 (choutatsu)	 supply, provision
中断 (chuudan)	 interruption, suspension, break​
忠実 (chuujitsu)	 faithfulness, devotion, loyalty
打撃 (dageki)	 blow, shock, strike
大胆 (daitan)	 bold, daring, audacious​
妥協 (dakyou)	 compromise, giving in​
団結 (danketsu)	 unity, union, combination
脱出 (dasshutsu)	 escape, break-out​
土台 (dodai)	 foundation, base, basis​
独裁 (dokusai)	 dictatorship, despotism​
独占 (dokusen)	 monopoly, monopolization​
度胸 (dokyou)	 courage, bravery, nerve
動員 (douin)	 mobilization
同情 (doujou)	 sympathy, compassion
動機 (douki)	 motive, incentive​
同盟 (doumei)	 alliance, union, league
同類 (dourui)	 the same kind
同士 (doushi)	 fellow, companion, comrade
同等 (doutou)	 equality, equal, same rights
動揺 (douyou)	 shaking, trembling, disturbance
映像 (eizou)	 reflection, image, video
演じる (enjiru)	 to perform (a play), to play (a part)
不動産 (fudousan)	 real estate​
腐敗 (fuhai)	 decomposition, corruption, decay
不可欠 (fukaketsu)	 indispensable, essential​
復讐 (fukushuu)	 revenge
紛争 (funsou)	 dispute, trouble, strife​
相応しい (fusawashii)	 appropriate, adequate
負傷 (fushou)	 injury, wound​
負担 (futan)	 burden, charge, responsibility​
不当 (futou)	 injustice, impropriety, unfair
封鎖 (fuusa)	 blockade
概念 (gainen)	 general idea, concept
現地 (genchi)	 actual place, local
厳密 (genmitsu)	 strict, close, precise
減少 (genshou)	 decrease, reduction, decline
原則 (gensoku)	 principle, general rule​
幻想 (gensou)	 illusions
犠牲 (gisei)	 victim, sacrifice, scapegoat
合成 (gousei)	 composition, synthesis
軍事 (gunji)	 military affairs​
業務 (gyoumu)	 business, affairs, duties
業績 (gyouseki)	 achievement, performance, results
把握 (haaku)	 grasp, catch, understanding​
阻む (habamu)	 to keep someone from doing, to prevent
肺 (hai)	 lung
配置 (haichi)	 arrangement, deployment
背後 (haigo)	 back, rear, ​background
排除 (haijo)	 exclusion, removal, elimination
配慮 (hairyo)	 consideration, concern, attention
廃止 (haishi)	 abolition, repeal​
破壊 (hakai)	 destruction, disruption​
派遣 (haken)	 dispatch, despatch, deployment​
白状 (hakujou)	 confession
繁栄 (han’ei)	 prosperity, thriving
反応 (hannou)	 reaction, response​
反乱 (hanran)	 insurrection, rebellion
発生 (hassei)	 outbreak, spring forth, occurrence
果たす (hatasu)	 to accomplish, to achieve
発言 (hatsugen)	 statement, remark
兵器 (heiki)	 arms, weapons, ordnance​
閉鎖 (heisa)	 closing, shutdown, lockout
兵士 (heishi)	 soldier
変動 (hendou)	 change, fluctuation​
変革 (henkaku)	 change, transformation
偏見 (henken)	 prejudice, narrow view​
率いる (hikiiru)	 to lead, to command
悲鳴 (himei)	 shriek, scream​
非難 (hinan)	 criticism, blame, reproach
避難 (hinan)	 taking refuge, finding shelter
貧困 (hinkon)	 poor, needy​
頻繁 (hinpan)	 frequent, incessant
疲労 (hirou)	 fatigue, weariness​
悲惨 (hisan)	 disastrous, tragic
匹敵 (hitteki)	 to be a match for, to rival
必然 (hitsuzen)	 inevitable, necessary
施す (hodokosu)	 to give, to do, to conduct
保護 (hogo)	 care, protection, shelter
保険 (hoken)	 insurance, guarantee​
本能 (honnou)	 instinct
本心 (honshin)	 true feelings​
本質 (honshitsu)	 essence, true nature
崩壊 (houkai)	 collapse, crumbling
放棄 (houki)	 abandonment, renunciation
方策 (housaku)	 plan, policy​
報酬 (houshuu)	 remuneration, recompense, reward
法廷 (houtei)	 courtroom
票 (hyou)	 vote, ballot
一部 (ichibu)	 one part, one portion
著しい (ichijirushii)	 striking, remarkable, considerable
移住 (ijuu)	 migration, immigration​
怒り (ikari)	 anger, rage, fury
一刻 (ikkoku)	 minute, moment, an instant​
移行 (ikou)	 migration, transition​
移民 (imin)	 emigration, immigration
痛める (itameru)	 to hurt, to cause pain
痛む (itamu)	 to hurt, to ache, to feel a pain​
意図 (ito)	 intention, aim, design​
営む (itonamu)	 to run (a business), to operate
意欲 (iyoku)	 will, desire, ambition
依然 (izen)	 still, as yet
依存 (izon)	 dependence, reliance​
地獄 (jigoku)	 hell
事業 (jigyou)	 enterprise, business, industry
自覚 (jikaku)	 self-consciousness, self-awareness​
地元 (jimoto)	 home area, local
迅速 (jinsoku)	 quick, fast, rapid, swift
実践 (jissen)	 practice, putting into practice
実質 (jisshitsu)	 substance, essence​
事前 (jizen)	 prior, beforehand
持続 (jizoku)	 continuation, persisting, lasting
助言 (jogen)	 advice, suggestion​
譲歩 (jouho)	 concession, conciliation
情熱 (jounetsu)	 passion, enthusiasm
上陸 (jouriku)	 landing, disembarkation
情勢 (jousei)	 state of things, state of affairs
従業員 (juugyouin)	 employee, worker​
