暴れる (abareru)	 to act violently; to rage; to struggle; to be riotous​
溢れる (afureru)	 to overflow; to brim over; to flood
愛着 (aichaku)	 attachment; love; covetous affection​
合間 (aima)	 interval; break; pause; spare moment​
曖昧 (aimai)	 vague; ambiguous; unclear​
愛らしい (airashii)	 pretty; charming; lovely; adorable
愛社 (aisha)	 devotion to one’s company​
相性 (aishou)	 affinity; compatibility​
相次いで (aitsuide)	 one after the other; successively​
愛用 (aiyou)	 favorite; habitually used​
味付け (ajitsuke)	 seasoning; flavor​
赤字 (akaji)	 (being in) the red; deficit; red letter; red writing​; corrections (by a teacher or proofreader) written in red​
飽き (aki)	 weariness; boredom; tedium; tiresomeness​
空き地 (akichi)	 vacant land; unoccupied ground; empty lot​
諦め (akirame)	 resignation; acceptance; consolation​
悪化 (akka)	 (suffer) deterioration; growing worse; aggravation; degeneration; corruption​
憧れ (akogare)	 yearning; longing; aspiration; adoration; admiration​
憧れる (akogareru)	 to long for; to yearn after; to admire; to be attracted by
悪影響 (akueikyou)	 bad influence; negative influence​
悪意 (akui)	 ill will; spite; evil intention; malice​; bad meaning​
悪条件 (akujouken)	 unfavorable conditions; unfavourable conditions​
雨水 (amamizu/usui)	 rain water
甘やかす (amayakasu)	 to pamper; to spoil​
案外 (angai)	 unexpectedly; surprisingly​; unexpected; unanticipated; unforeseen; surprising
安易 (an’i)	 easy; simple​; easygoing; lighthearted; simplistic; irresponsible; careless; quick (to do)​
安価 (anka)	 low-priced; cheap; inexpensive​
仰向け (aomuke)	 face up
荒い (arai)	 rough; wild; violent; rude; coarse; harsh; fierce; heavy (e.g. breathing)​; immoderate; extravagant; reckless​
洗い出す (araidasu)	 to reveal something by washing the surface​; to bring to light; to reveal by investigation​
予め (arakajime)	 beforehand; in advance; previously​
争う (arasou)	 to compete; to contest; to contend​; to quarrel; to argue; to dispute; to be at variance; to oppose​
改める (aratameru)	 to change; to alter; to revise; to replace; to reform; to correct; to mend; to improve​
荒れる (areru)	 to be stormy; to be rough​; to be ruined; to fall into ruin​; to be in a bad temper; to lose one’s temper​
焦り (aseri)	 impatience
焦る (aseru)	 to be in a hurry; to be impatient; to be flustered; to lose one’s presence of mind; to be surprised​
足を運ぶ (ashi o hakobu)	 to go; to come; to turn out (at a meeting, event, etc.); to show up; to make your way to​
圧勝 (asshou)	 complete victory​
宛 (ate)	 addressed to
当てはまる (atehamaru)	 to apply (a rule); to be applicable; to come under (a category); to fulfill; to hold true​
後回し (atomawashi)	 putting off; postponing​
後戻り (atomodori)	 going backward; turning back; backtracking; doubling back​; retrogression; relapse; returning to a bad state​
あっという間 (attoiuma)	 a blink of time
厚かましい (atsukamashii)	 impudent; shameless; brazen​
慌ただしい (awatadashii)	 busy; hurried; confused; flurried
怪しい (ayashii)	 suspicious; dubious; doubtful; dodgy; suspicious (referring to a potential amorous relation); dangerous (e.g. financial situation); ominous (e.g. weather); strange; shady; fishy​
歩み寄る (ayumiyoru)	 to compromise; to meet halfway​; to step up to; to walk up to; to approach​
歩む (ayumu)	 to walk; to go on foot​
鮮やか (azayaka)	 vivid; bright; brilliant; clear; fresh; vibrant​; skillful; brilliant; beautiful; fine; excellent​
倍増 (baizou)	 double
離れ (banare)	 (suffix) separation from; loss of interest in; independence of; distancing (of oneself) from; disillusionment with; alienation from (something)
ばっさり	 with a single stroke; resolutely; drastically; completely​
別荘 (bessou)	 holiday house; vacation home; villa; prison; jail
美術 (bijutsu)	 art; fine arts​
敏感 (binkan)	 sensitive; alert; aware; susceptible​
びっしょり	 wet through; drenched​
美容院 (biyouin)	 beauty parlor; beauty salon; hairdressing salon​
募金 (bokin)	 fund-raising; collection of funds​
牧場 (bokujou)	 farm (livestock); ranch (US); pasture land; meadow; grazing land​
膨大 (boudai)	 huge; vast; enormous; colossal; extensive; large​; swelling; expansion
防犯 (bouhan)	 prevention of crime​
防災 (bousai)	 prevention of damage resulting from a natural disaster; protection against disaster​
部員 (buin)	 staff; member (club, society, etc.)​
部下 (buka)	 subordinate person​
ぶかぶか	 too large (clothing); baggy; loose-fitting
分別 (bunbetsu)	 separation (e.g. of rubbish when recycling); classification; discrimination; division; distinction​
分解 (bunkai)	 disassembly; dismantling; disaggregating; analysis; disintegrating; decomposing; degrading​
分割 (bunkatsu)	 partition; division; separation; segmenting; splitting​
文系 (bunkei)	 humanities, social sciences, and fine arts; liberal arts
文献 (bunken)	 literature; books (reference); document​
文面 (bunmen)	 content of a letter​
分配 (bunpai)	 division; splitting; sharing; distribution; dissemination; allocation​
分量 (bunryou)	 amount; quantity​
分担 (buntan)	 taking on one’s share (e.g. of work); dividing (work, expenses, etc.) between; apportionment; allotment; allocation; assignment​
物資 (busshi)	 goods; materials; commodities; resources; supplies
着々と (chakuchaku to)	 steadily
着実 (chakujitsu)	 steady; sound; solid; reliable; trustworthy​
縮める (chidjimeru)	 to shorten; to reduce; to condense; to shrink​; to make (one’s body) smaller; to draw in (one’s legs); to duck (one’s head)​
縮む (chidjimu)	 to shrink; to contract; to diminish (in size)​
近々 (chikadjika)	 soon; nearness; before long​
近づく (chikazuku)	 to approach; to draw near; to get close​; to get acquainted with; to get closer to; to get to know​
蓄積 (chikuseki)	 accumulation; accumulate; store​
散らかす (chirakasu)	 to scatter around; to leave untidy​
地帯 (chitai)	 area; zone; belt (of land)​
知的 (chiteki)	 intellectual
地点 (chiten)	 site; point on a map; spot​
地球温暖化 (chikyuuondanka)	 global warming​
直結 (chokketsu)	 direct connection; direct link​
直後 (chokugo)	 immediately following​
直立 (chokuritsu)	 standing upright; standing straight
直前 (chokuzen)	 just before​
長編 (chouhen)	 long (e.g. novel, film)​
長方形 (chouhoukei)	 rectangle; oblong​
長期間 (choukikan)	 long period (of time)​
彫刻 (choukoku)	 carving; engraving; sculpture​
彫刻家 (choukokuka)	 engraver; carver; sculptor​
長距離 (choukyori)	 long distance; long haul​
調味料 (choumiryou)	 seasoning; flavoring; flavouring; condiment​
調理 (chouri)	 cooking; food preparation​
調整 (chousei)	 adjustment; regulation; coordination; reconciliation; tuning; fixing; tailoring​
調節 (chousetsu)	 regulation; adjustment; control​
聴衆 (choushuu)	 audience; attendance; hearers​
注意点 (chuuiten)	 important point; point to make note of​
抽象 (chuushou)	 abstraction
中断 (chuudan)	 interruption; suspension; break​
注意深い (chuuibukai)	 careful
忠実 (chuujitsu)	 faithful; devoted; loyal; honest; true​
中旬 (chuujun)	 middle of a month; second third of a month; 11th to 20th day of a month​
中華 (chuuka)	 Chinese food
中継 (chuukei)	 relay; relay broadcasting
駐輪所 (chuurinjo)	 bicycle parking place​
抽選 (chuusen)	 lottery; raffle; drawing (of lots)​
大学院 (daigakuin)	 graduate school
大学祭 (daigakusai)	 university festival; rag day
台無し (dainashi)	 mess; spoiled; spoilt; (come to) nothing; ruin​
題名 (daimei)	 title
段取り (dandori)	 programme; program; plans; arrangements​
段階 (dankai)	 grade; level; stage; class; phase; steps; order; gradation​
団結 (danketsu)	 unity; union; solidarity; combination; teaming up​
だらし無い (darashinai)	 slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack​; weak; feeble; weak-willed; gutless​
脱出 (dasshutsu)	 escape; break-out​; prolapse; proptosis​
妥当 (datou)	 valid; proper; right; appropriate; reasonable​
出来上がる (dekiagaru)	 to be completed; to be finished; to be ready (e.g. to serve or eat)​
電源 (dengen)	 source of electricity; electrical power​; power (button on TV, etc.)​
電気屋 (denkiya)	 electric appliance store​
電波 (denpa)	 radio wave; reception; signal
伝染 (densen)	 contagion; infection​
伝達 (dentatsu)	 transmission (e.g. news, chemical signals, electricity); communication; delivery; conveyance; transfer; relay; propagation; conduction​
でたらめに	 nonsense; irresponsible remark; codswallop; hogwash; rubbish
土台 (dodai)	 foundation; base; basis​
独占 (dokusen)	 monopoly; monopolization; exclusivity​; keeping to oneself​
読者 (dokusha)	 reader
独身者 (dokushinsha)	 unmarried person; bachelor
道中 (douchuu)	 during the journey; on the way; while travelling​
動機 (douki)	 motive; incentive​
同居 (doukyo)	 coexistence; living together​
同年代 (dounendai)	 the same generation; coeval​
