
油 (abura)	 oil

愛 (ai)	 love, affection, care

愛情 (aijou)	 love, affection

相変わらず (aikawarazu)	 as ever, as usual, the same

生憎 (ainiku)	 unfortunately; sorry, but…

愛する (aisuru)	 to love

相手 (aite)	 companion, partner

合図 (aizu)	 sign, signal

明かり (akari)	 light, illumination, glow

明ける (akeru)	 to dawn, to end (of a period, season)

空き (aki)	 space, room, emptiness

空き家 (akiya)	 vacant house, unoccupied house​

明らか (akiraka)	 obvious, evident, clear

諦める (akirameru)	 to give up, to abandon

飽きる (akiru)	 to get tired of

悪魔 (akuma)	 demon, evil

握手 (akushu)	 handshake

余る (amaru)	 to remain, to be left over

編む (amu)	 to knit, to braid​

案 (an)	 idea, plan, thought

汗 (ase)	 sweat, perspiration

穴 (ana)	 hole, deficit, vacancy

暗記 (anki)	 memorization

安定 (antei)	 stability, equilibrium

粗い (arai)	 coarse, rough​

嵐 (arashi)	 storm, tempest

新た (arata)	 new, fresh, novel

現れる (arawareru)	 to appear, to come in sight

表す (arawasu)	 to represent, to show, to display

有らゆる (arayuru)	 all, every

足元 (ashimoto)	 at one’s feet, under foot

与える (ataeru)	 to give, to bestow

値 (atai)	 price, cost

辺り (atari)	 neighborhood, nearby

当たる (ataru)	 to be hit, to strike

温める (atatameru)	 to warm, to heat​

跡 (ato)	 trace, tracks, mark

扱う (atsukau)	 to deal with, to treat

集まり (atsumari)	 gathering, meeting

慌てる (awateru)	 to panic​, to rush

誤り (ayamari)	 error, mistake, slip

泡 (awa)	 bubble, foam

哀れ (aware)	 pity, sorrow, grief

合わせる (awaseru)	 to match, to join together

預ける (azukeru)	 to give into custody

場 (ba)	 place, spot, scene

馬鹿 (baka)	 fool, idiot

莫大 (bakudai)	 enormous, vast

爆発 (bakuhatsu)	 explosion, detonation

場面 (bamen)	 scene, setting

ばらばら	 scattered, in pieces

罰する (bassuru)	 to punish, to penalize

弁護士 (bengoshi)	 lawyer, attorney​

別々 (betsubetsu)	 separately, individually​

美人 (bijin)	 beautiful woman

びっくり	 to be surprised

微妙 (bimyou)	 delicate, subtle

瓶 (bin)	 bottle, jar

便 (bin)	 mail, post, flight

ぼんやり	 absentmindedly

募集 (boshuu)	 recruitment, taking applications​, raising (funds)

棒 (bou)	 pole, rod, stick

冒険 (bouken)	 adventure, risk

部分 (bubun)	 portion, section, part

部品 (buhin)	 parts, components​

無事 (buji)	 safety, peace

武器 (buki)	 weapon, arms

物価 (bukka)	 prices of commodities

文 (bun)	 sentence

分 (bun)	 part, segment, share

文明 (bunmei)	 civilization

分類 (bunrui)	 categorization, sorting​

分析 (bunseki)	 analysis

文章 (bunshou)	 essay, article, composition

分野 (bun’ya)	 field, sphere

ぶらぶら	 strolling, wandering

無沙汰 (busata)	 not writing or contacting for a while

物質 (busshitsu)	 material, substance

舞台 (butai)	 stage

打つかる (butsukaru)	 to strike against, to collide with

物理 (butsuri)	 physics

秒 (byou)	 second

平等 (byoudou)	 equality, evenness

父親 (chichioya)	 father

知恵 (chie)	 wisdom, wit

違い (chigai)	 difference, discrepancy

地平線 (chiheisen)	 horizon

地方 (chihou)	 district, region, area

地位 (chii)	 social position, status

地域 (chiiki)	 area, region

知事 (chiji)	 prefectural governor

地下 (chika)	 basement, cellar

近頃 (chikagoro)	 lately, recently

近道 (chikamichi)	 short way, shortcut​

力強い (chikarazuyoi)	 powerful, strong

遅刻 (chikoku)	 lateness, late coming

地区 (chiku)	 district, section, sector

地球 (chikyuu)	 the earth, the globe

知能 (chinou)	 intelligence, brain

知識 (chishiki)	 knowledge, information

貯金 (chokin)	 savings

直接 (chokusetsu)	 direct, immediate

著者 (chosha)	 author, writer

頂上 (choujou)	 top, summit, peak

長期 (chouki)	 long-term

調査 (chousa)	 investigation, examination

調子 (choushi)	 tone, condition, health

長所 (chousho)	 strong point, merit, virtue

Learn JLPT N3 Vocabulary
Ebook	 Learn JLPT N3 Vocabulary (3373 pages)
Preview This Ebook
Download This Ebook

朝食 (choushoku)	 breakfast
中学 (chuugaku)	 middle school

中間 (chuukan)	 middle, midway, center

中古 (chuuko)	 used, second-hand

注目 (chuumoku)	 notice, attention

注文 (chuumon)	 order, request

駐車 (chuusha)	 parking

中止 (chuushi)	 suspension, stoppage

中心 (chuushin)	 center, middle, core

中心地 (chuushinchi)	 center, metropolis​

昼食 (chuushoku)	 lunch, midday meal

中央 (chuuou)	 centre, middle

代 (dai)	 cost, price​, generation

大部分 (daibubun)	 most part, majority

代表 (daihyou)	 representative

代表者 (daihyousha)	 representative, delegate​

大臣 (daijin)	 cabinet minister

代金 (daikin)	 price, payment, cost

代理 (dairi)	 representation, agency

大成功 (daiseikou)	 huge success​

大小 (daishou)	 sizes (various), large and small​

大都会 (daitokai)	 metropolis, big city​

大統領 (daitouryou)	 president, chief executive

黙る (damaru)	 to be silent

段 (dan)	 steps, stair, grade, rank

だんだん	 gradually, little by little

男女 (danjo)	 men and women, both genders

男子 (danshi)	 youth, young man

団体 (dantai)	 organization, association

だるい	 sluggish, bothersome

出会い (deai)	 meeting, encounter

出会う (deau)	 to meet (by chance)

出来事 (dekigoto)	 incident, affair

電池 (denchi)	 battery, cell​

伝言 (dengon)	 verbal message

電球 (denkyuu)	 light bulb

電子 (denshi)	 electron

電子レンジ (denshi renji)	 microwave oven

伝統 (dentou)	 tradition, convention

度 (do)	 degree, counter for occurrences​

どきどき	 to beat fast (of one’s heart)

毒 (doku)	 poison, toxicant

独立 (dokuritsu)	 independence

独身 (dokushin)	 single, unmarried

読書 (dokusho)	 reading

独特 (dokutoku)	 peculiarity, uniqueness

泥 (doro)	 mud, dirt

努力 (doryoku)	 great effort, exertion

同一 (douitsu)	 identical, same

当時 (touji)	 at that time, in those days

同時 (douji)	 simultaneous, concurrent

銅貨 (douka)	 copper coin

どうか	 please, one way or another​

同級生 (doukyuusei)	 classmate

道路 (douro)	 road, highway

同僚 (douryou)	 coworker, colleague

動詞 (doushi)	 verb

どうしても	 by all means, at any cost

道徳 (doutoku)	 morals

同様 (douyou)	 identical, same

柄 (e)	 handle, grip

描く (egaku)	 to draw, to paint

笑顔 (egao)	 smiling face

永遠 (eien)	 eternity

営業 (eigyou)	 business, trade

影響 (eikyou)	 influence, effect

永久 (eikyuu)	 eternity

衛星 (eisei)	 satellite

栄養 (eiyou)	 nutrition, nourishment

円 (en)	 Japanese money unit

演技 (engi)	 acting, performance

援助 (enjo)	 assistance, aid

延期 (enki)	 postponement

遠足 (ensoku)	 excursion, outing, trip​

演奏 (ensou)	 musical performance

演説 (enzetsu)	 speech, address

得る (eru)	 to get, to gain, to acquire

餌 (esa)	 feed, bait

不安 (fuan)	 anxiety, uneasiness

縁 (fuchi)	 rim, edge, brink

普段 (fudan)	 usual, habitual

筆 (fude)	 writing brush

笛 (fue)	 flute, pipe

不平 (fuhei)	 complaint, dissatisfaction

夫人 (fujin)	 wife, madam

婦人 (fujin)	 woman, lady, adult female

不自由 (fujiyuu)	 discomfort, inconvenience

不可 (fuka)	 wrong, bad, improper

不可能 (fukanou)	 impossible

不幸 (fukou)	 unhappiness, sorrow

含む (fukumu)	 to contain, to comprise

袋 (fukuro)	 bag, sack

服装 (fukusou)	 garments, attire

不満 (fuman)	 dissatisfaction, displeasure

雰囲気 (fun’iki)	 atmosphere

ふらふら	 unsteadily, shakily

触れる (fureru)	 to touch, to feel

不利 (furi)	 disadvantage, handicap

振る (furu)	 to wave, to shake

震える (furueru)	 to shiver, to shake

防ぐ (fusegu)	 to defend, to protect

不正 (fusei)	 injustice, unfairness

節 (fushi)	 joint, knuckle, tune

不思議 (fushigi)	 wonder, miracle, strange

不足 (fusoku)	 insufficiency

双子 (futago)	 twins

沸騰 (futtou)	 boiling, becoming heated

夫婦 (fuufu)	 married couple, spouses

風景 (fuukei)	 scenery, landscape

不要 (fuyou)	 unnecessary, unneeded

不用 (fuyou)	 disused, unused

不用品 (fuyouhin)	 disused article​

害 (gai)	 injury, harm, damage

外国語 (gaikokugo)	 foreign language​

外国産 (gaikokusan)	 of foreign manufacture​

外交 (gaikou)	 diplomacy

外食 (gaishoku)	 eating out, dining out​

外出 (gaishutsu)	 going out

画家 (gaka)	 painter, artist

がっかり (gakkari)	 feel disappointed

学期 (gakki)	 school term

楽器 (gakki)	 musical instrument​

学 (gaku)	 learning, scholarship

学部 (gakubu)	 department of a university​

学問 (gakumon)	 learning, study

学者 (gakusha)	 scholar

学習 (gakushuu)	 study, learning

画面 (gamen)	 terminal screen

柄 (gara)	 pattern, design

芸術 (geijutsu)	 art, the arts

外科 (geka)	 surgery, department of surgery

劇 (geki)	 drama, play

劇場 (gekijou)	 theater

現場 (genba)	 actual spot, scene

現代 (gendai)	 nowadays, modern era

言語 (gengo)	 language

現実 (genjitsu)	 reality, actuality

現状 (genjou)	 present condition

限界 (genkai)	 limit, bound

現金 (genkin)	 cash, ready money

現象 (genshou)	 phenomenon

減少 (genshou)	 decrease, decline

現在 (genzai)	 now, current

議長 (gichou)	 chairman

議員 (giin)	 member of the Diet

議会 (gikai)	 congress, parliament

疑問 (gimon)	 question, doubt

義務 (gimu)	 duty, obligation

銀 (gin)	 silver

議論 (giron)	 argument, discussion

技師 (gishi)	 engineer, technician

語 (go)	 language

語学 (gogaku)	 language study

豪華 (gouka)	 wonderful, gorgeous

誤解 (gokai)	 misunderstanding

極 (goku)	 quite, very

塵 (gomi)	 rubbish, trash

合格 (goukaku)	 passing (exam), success

合計 (goukei)	 total amount

強盗 (goutou)	 robber, mugger

軍 (gun)	 army, troop

軍隊 (guntai)	 armed forces

ぐっすり (gussuri)	 sound sleep

具体 (gutai)	 concrete, tangible

偶然 (guuzen)	 by chance, unexpectedly

逆 (gyaku)	 reverse, opposite

行儀 (gyougi)	 manners, behavior

幅 (haba)	 width, breadth

省く (habuku)	 to omit, to leave out

肌 (hada)	 skin

裸 (hadaka)	 naked, nude

派手 (hade)	 showy, flashy

生える (haeru)	 to grow, to spring up

激しい (hageshii)	 violent, furious

母親 (hahaoya)	 mother

灰 (hai)	 ashes

掃く (haku)	 to sweep, to brush

歯磨き (hamigaki)	 brushing one’s teeth​

配送 (haisou)	 delivery

配達 (haitatsu)	 delivery, distribution

俳優 (haiyuu)	 actor, actress

始まり (hajimari)	 origin, beginning

墓 (haka)	 grave, tomb

計る (hakaru)	 to measure, to weigh

博士 (hakase)	 doctorate

発見 (hakken)	 discovery, finding

発行 (hakkou)	 issue, publishing

履く (haku)	 to wear, to put on

吐く (haku)	 to vomit, to throw up

博物館 (hakubutsukan)	 museum

拍手 (hakushu)	 applause

花火 (hanabi)	 fireworks

離れる (hanareru)	 to be separated

話し合う (hanashiau)	 to discuss

話しかける (hanashikakeru)	 to start a conversation

