浴びる 	abiru	 to take a shower
危ない 	abunai	 dangerous, risky
あげる 	ageru	 to give
赤/赤い 	aka/akai	 red
明るい 	akarui	 bright, colorful
開ける 	akeru	 to open
秋 	aki	 autumn
開く 	aku	 to open
甘い 	amai	 sweet
雨 	ame	 rain
あなた 	anata	 you
兄 	ani	 older brother
姉 	ane	 older sister
青い 	aoi	 blue
洗う 	arau	 to wash
有る 	aru	 to be, to exist
歩く 	aruku	 to walk
朝 	asa	 morning
朝ご飯 	asagohan	 breakfast
明後日 	asatte	 day after tomorrow
足 	ashi	 foot, leg
明日 	ashita	 tomorrow
遊ぶ 	asobu	 to play
あそこ 	asoko	 there, over there
頭 	atama	 head
暖かい 	atatakai	 warm, mild
新しい 	atarashii	 new, fresh
後 	ato	 behind after, later
暑い 	atsui	 hot 	weather
熱い 	atsui	 hot 	thing
厚い 	atsui	 thick
会う 	au	 to meet
晩ご飯 	bangohan	 dinner
番号 	bangou	 number
勉強 	benkyou	 study, diligence
便利 	benri	 convenient, handy
帽子 	boushi	 hat, cap
病院 	byouin	 hospital
病気 	byouki	 illness, disease
豚肉 	butaniku	 pork
茶色 	chairo	 light brown
茶碗 	chawan	 rice bowl, tea cup
父 	chichi	 father
違う 	chigau	 to differ 	from
小さい 	chiisai	 small, little, tiny
近い 	chikai	 near, close
近く 	chikaku	 near, neighborhood
地下鉄 	chikatetsu	 subway, metro
ちょっと 	chotto	 a little
ちょうど 	choudo	 exactly, precisely, just
地図 	chizu	 map
台所 	daidokoro	 kitchen
大学 	daigaku	 university
大丈夫 	daijoubu	 safe, all right, okay
段々 	dandan	 gradually, little by little
誰 	dare	 who
誰か 	dareka	 someone, somebody
出す 	dasu	 to take out
出口 	deguchi	 exit, gateway
出かける 	dekakeru	 to go out
電気 	denki	 electricity, light
電車 	densha	 train, electric train
電話 	denwa	 telephone call, phone
出る 	deru	 to leave, to exit
どちら 	dochira	 which one
どこ 	doko	 where
どう 	dou	 how, in what way, how about
動物 	doubutsu	 animal
どうも 	doumo	 thanks
どうして 	doushite	 why, for what reason
どうぞ 	douzo	 please, feel free
土曜日 	doyoubi	 Saturday
絵 	e	 picture, drawing, painting
映画 	eiga	 movie, film
映画館 	eigakan	 movie theater, cinema
英語 	eigo	 English 	language
駅 	eki	 station
鉛筆 	enpitsu	 pencil
服 	fuku	 clothes
吹く 	fuku	 to blow 	wind
二人 	futari	 two people, pair
二日 	futsuka	 second day of the month, two days
降る 	furu	 to fall 	rain
古い 	furui	 old 	not person
封筒 	fuutou	 envelope
冬 	fuyu	 winter
学校 	gakkou	 school
学生 	gakusei	 student
外国 	gaikoku	 foreign country
外国人 	gaikokujin	 foreigner
元気 	genki	 lively, full of spirit
玄関 	genkan	 entranceway, entrance hall
月曜日 	getsuyoubi	 Monday
銀行 	ginkou	 bank
牛肉 	gyuuniku	 beef
牛乳 	gyuunyuu	 milk
五 	go	 five
午後 	gogo	 afternoon, p.m.
ご飯 	gohan	 cooked rice, meal
午前 	gozen	 morning, a.m.
歯 	ha	 tooth
八 	hachi	 eight
葉書 	hagaki	 postcard
母 	haha	 mother
入る 	hairu	 to enter, to go into
灰皿 	haizara	 ashtray
始め 	hajime	 beginning, start
初めて 	hajimete	 for the first time
始まる 	hajimaru	 to begin, to start
箱 	hako	 box, chest
半分 	hanbun	 half
花 	hana	 flower, blossom
鼻 	hana	 nose
話 	hanashi	 talk, speech, chat
話す 	hanasu	 to talk, to speak
晴れる 	hareru	 to clear up
春 	haru	 spring, springtime
貼る 	haru	 to stick, to paste
箸 	hashi	 chopsticks
橋 	hashi	 bridge
走る 	hashiru	 to run
二十歳 	hatachi	 twenty years old
働く 	hataraku	 to work
二十日 	hatsuka	 twentieth day of the month, twenty days
早い 	hayai	 early
早く 	hayaku	 early, soon, quickly
速い 	hayai	 fast, quick
辺 	hen	 area, vicinity
下手 	heta	 unskillful
部屋 	heya	 room, chamber
日 	hi	 day, sun
火 	hi	 fire, flame
左 	hidari	 left, left hand side
東 	higashi	 east
弾く 	hiku	 to play 	piano, guitar
引く 	hiku	 to pull, to draw
低い 	hikui	 low 	rank, short 	height
飛行機 	hikouki	 aeroplane, airplane
暇 	hima	 spare time, free time
広い 	hiroi	 spacious, vast, wide
昼 	hiru	 noon, midday
昼ご飯 	hirugohan	 lunch, midday meal
人 	hito	 person
一人 	hitori	 one person, alone
一つ 	hitotsu	 one
本 	hon	 book
本棚 	hondana	 bookshelf, bookcase
本当 	hontou	 truth, reality
他 	hoka	 other, the rest
百 	hyaku	 hundred
一 	ichi	 one
一番 	ichiban	 number one, first, first place
一日 	ichinichi	 one day
家 	ie	 house, residence
いい 	ii	 good
否 	iie	 no, nay
池 	ike	 pond
行く 	iku	 to go
幾ら 	ikura	 how much, how many
幾つ 	ikutsu	 how many, how old
今 	ima	 now, the present time
意味 	imi	 meaning, significance
妹 	imouto	 younger sister
犬 	inu	 dog
入れる 	ireru	 to put in, to let in
入口 	iriguchi	 entrance, gate
色 	iro	 color, complexion
色々 	iroiro	 various
要る 	iru	 to need, to want
医者 	isha	 	medical doctor, physician
忙しい 	isogashii	 busy, occupied
一緒 	issho	 together
椅子 	isu	 chair, stool
痛い 	itai	 painful, sore
五日 	itsuka	 fifth day of the month, five days
いつも 	itsumo	 always, usually
五つ 	itsutsu	 five
言う 	iu	 to say, to utter
嫌 	iya	 disagreeable, detestable
字引 	jibiki	 dictionary
自分 	jibun	 myself, yourself, oneself
自動車 	jidousha	 automobile
時間 	jikan	 time, hours
辞書 	jisho	 dictionary
自転車 	jitensha	 bicycle
上手 	jouzu	 skill, skillful
授業 	jugyou	 lesson, class work
鞄 	kaban	 bag
花瓶 	kabin	 	flower vase
角 	kado	 corner, edge
帰る 	kaeru	 to return, to come home
返す 	kaesu	 to return 	something
鍵 	kagi	 key, lock
階段 	kaidan	 stairs, stairway
買物 	kaimono	 shopping
会社 	kaisha	 company, corporation
書く 	kaku	 to write, to compose
紙 	kami	 paper
漢字 	kanji	 Chinese characters
体 	karada	 body, torso
辛い 	karai	 spicy, hot
借りる 	kariru	 to borrow
軽い 	karui	 light 	not heavy
傘 	kasa	 umbrella
貸す 	kasu	 to lend, to loan
方 	kata	 person
家庭 	katei	 home, family, household
買う 	kau	 to buy, to purchase
可愛い 	kawaii	 cute, adorable
家族 	kazoku	 family, members of a family
風 	kaze	 wind, breeze
風邪 	kaze	 cold, influenza
川 	kawa	 river, stream
警官 	keikan	 police officer, policeman
結婚 	kekkon	 marriage
結構 	kekkou	 spenlid, nice, okay
今朝 	kesa	 this morning
消す 	kesu	 to erase, to delete
木 	ki	 tree
消える 	kieru	 to go out, to vanish
黄色い 	kiiroi	 yellow
昨日 	kinou	 yesterday
金曜日 	kin’youbi	 Friday
切符 	kippu	 ticket
嫌い 	kirai	 dislike, hate
切る 	kiru	 to cut
着る 	kiru	 to wear, to put on
喫茶店 	kissaten	 coffee shop
北 	kita	 north
汚い 	kitanai	 dirty, filthy
切手 	kitte	 stamp 	postage
九 	kyuu	 nine
声 	koe	 voice
ここ 	koko	 here
九日 	kokonoka	 ninth day of the month, nine days
困る 	komaru	 to be troubled, to be worried
今晩 	konban	 tonight, this evening
今週 	konshuu	 this week
交番 	kouban	 police box
紅茶 	koucha	 black tea
公園 	kouen	 	public park
子供 	kodomo	 child, children
答える 	kotaeru	 to answer, to reply
言葉 	kotoba	 language, dialect
今年 	kotoshi	 this year
交差点 	kousaten	 crossing, intersection
聞く 	kiku	 to hear, to listen
奇麗 	kirei	 pretty, lovely, beautiful
去年 	kyonen	 last year
今日 	kyou	 today, this day
兄弟 	kyoudai	 siblings, brothers and sisters
教室 	kyoushitsu	 classroom, department
口 	kuchi	 mouth, opening, hole
果物 	kudamono	 fruit
曇り 	kumori	 cloudiness, cloudy weather
国 	kuni	 country, state, region
暗い 	kurai	 dark, gloomy
黒い 	kuroi	 black, dark
来る 	kuru	 to come
車 	kuruma	 car, automobile
薬 	kusuri	 medicine
靴 	kutsu	 shoes, boots
靴下 	kutsushita	 socks
Advertisement
町 	machi	 town, block
まだ 	mada	 still, not yet
前 	mae	 front, ahead, previous
毎朝 	maiasa	 every morning
毎晩 	maiban	 every night
毎月 	maitsuki/maigetsu	 every month
毎日 	mainichi	 every day
毎週 	maishuu	 every week
毎年 	maitoshi	 every year, yearly
窓 	mado	 window
曲がる 	magaru	 to bend, to curve
万 	man	 ten thousand
丸い 	marui	 round, circular
また 	mata	 again, also
待つ 	matsu	 to wait, to look forward to
不味い 	mazui	 unappetizing, unsavory
目 	me	 eye, eyeball
眼鏡 	megane	 spectacles, glasses
道 	michi	 road, street, way
緑 	midori	 green
磨く 	migaku	 to polish, to shine
右 	migi	 right, right hand side
短い 	mijikai	 short
耳 	mimi	 ear
南 	minami	 south
皆 	minna	 all, everyone
見る 	miru	 to see, to look, to watch
店 	mise	 store, shop
見せる 	miseru	 to show, to display
水 	mizu	 water
門 	mon	 gate
問題 	mondai	 question, problem
持つ 	motsu	 to hold 	in one’s hands
木曜日 	mokuyoubi	 Thursday
六日 	muika	 sixth day of the month, six days
向こう 	mukou	 opposite side, other side
村 	mura	 village
難しい 	muzukashii	 difficult, hard
長い 	nagai	 long, lengthy
中 	naka	 inside, in, among
鳴く 	naku	 to sing 	bird
無くす 	nakusu	 to lose something
名前 	namae	 name, full name
何 	nani	 what
七日 	nanoka	 seventh day of the month, seven days
並ぶ 	narabu	 to stand in a line
並べる 	naraberu	 to line up
習う 	narau	 to be taught, to learn 	from a teacher
なる 	naru	 to become
夏 	natsu	 summer
猫 	neko	 cat
寝る 	neru	 to go to bed
二 	ni	 two
日曜日 	nichiyoubi	 Sunday
賑やか 	nigiyaka	 bustling, busy, lively
肉 	niku	 flesh, meat
荷物 	nimotsu	 luggage, baggage
西 	nishi	 west
庭 	niwa	 garden, yard
登る 	noboru	 to ascend, to go up
飲物 	nomimono	 drink, beverage
飲む 	nomu	 to drink, to gulp
乗る 	noru	 to get on 	train, plane, bus, ship
脱ぐ 	nugu	 to take off 	clothes, shoes
伯母さん 	obasan	 aunt
お祖母さん 	obaasan	 grandmother
お弁当 	obentou	 Japanese lunch box
覚える 	oboeru	 to memorize, to remember
お茶 	ocha	 tea
お風呂 	ofuro	 bath
美味しい 	oishii	 delicious, tasty
お母さん 	okaasan	 mother
お金 	okane	 money
お菓子 	okashi	 sweets, candy
起きる 	okiru	 to get up, to rise
置く 	oku	 to put, to place
奥さん 	okusan	 wife, your wife, his wife
お巡りさん 	omawarisan	 police officer
重い 	omoi	 heavy, weighty
面白い 	omoshiroi	 interesting, fascinating
お腹 	onaka	 stomach
音楽 	ongaku	 music
女 	onna	 female, woman
同じ 	onaji	 same, identical
お姉さん 	oneesan	 elder sister
お兄さん 	oniisan	 elder brother
女の子 	onna no ko	 girl
多い 	ooi	 many, numerous, a lot
大きい 	ookii	 big, large, great
大勢 	oozei	 many, crowd, great number of people
降りる 	oriru	 to descend, to get off
お皿 	osara	 plate, dish
教える 	oshieru	 to teach, to instruct
遅い 	osoi	 slow, late
